title	publisher	urls	eIssn	pIssn	subjects	society	empty
Progress of Theoretical and Experimental Physics	Oxford University Press 	http://ptep.oxfordjournals.org 	2050-3911 	Unknown	Unknown	The Physical Society of Japan 	
Prosthetics and Orthotics International	SAGe Publications 	http://poi.sagepub.com 	1746-1553 	0309-3646 	Unknown	International Society for Prosthetics and Orthotics International 	
Protein Engineering Design and Selection	Oxford University Press 	http://peds.oxfordjournals.org 	1741-0134 	1741-0126 	Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Mathematics Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pharmacology Physics Physiology Plant Biology Respiratory Medicine Rheumatology Sexual Medicine Statistics Surgery Virology 	Unknown	
The Psychiatrist	The Royal College of Psychiatrists 	http://pb.rcpsych.org 	1758-3217 	1758-3209 	Medicine Psychiatry Psychology 	The Royal College of Psychiatrists 	
Psychological Science	SAGE Publications 	http://pss.sagepub.com 	1467-9280 	0956-7976 	Unknown	Association for Psychological Science 	
Psychological Science in the Public Interest	SAGE Publications 	http://psi.sagepub.com 	1539-6053 	1529-1006 	Unknown	Association for Psychological Science 	
Psychology & Developing Societies	SAGE Publications 	http://pds.sagepub.com 	0973-0761 	0971-3336 	Unknown	Unknown	
Psychology of Music	SAGE Publications 	http://pom.sagepub.com 	1741-3087 	0305-7356 	Unknown	Society for Education, Music and Psychology Research 	
Psychology of Women Quarterly	SAGE Publications 	http://pwq.sagepub.com 	Unknown	0361-6843 	Unknown	Society for the Psychology of Women, Division 35 of the American Psychological A 	
Psychosomatic Medicine	Lippincott Williams & Wilkins  	http://www.psychosomaticmedicine.org 	1534-7796 	0033-3174 	Medicine Neuroscience Psychiatry Psychology 	American Psychosomatic Society 	
Public Culture	Duke University Press 	http://publicculture.dukejournals.org 	1527-8018 	0899-2363 	Unknown	Unknown	
Public Finance Review	SAGE Publications 	http://pfr.sagepub.com 	1552-7530 	1091-1421 	Unknown	Unknown	
Public Health Ethics	Oxford University Press 	http://phe.oxfordjournals.org 	1754-9981 	1754-9973 	Unknown	Oxford University Press 	
Public Opinion Quarterly	Oxford University Press 	http://poq.oxfordjournals.org 	1537-5331 	0033-362X 	Unknown	American Association for Public Opinion Research 	
Public Policy and Administration	SAGE PUBLICATIONS 	http://ppa.sagepub.com 	1749-4192 	0952-0767 	Unknown	SAGE and the UK Joint University Council (JUC) Public Administration Committee ( 	
Public Relations Inquiry	SAGE Publications Ltd. 	http://pri.sagepub.com 	2046-1488 	2046-147X 	Unknown	SAGE Publications Ltd. 	
Public Understanding of Science	SAGE Publications 	http://pus.sagepub.com 	1361-6609 	0963-6625 	Unknown	Unknown	
Public Works Management & Policy	SAGE Publications 	http://pwm.sagepub.com 	1552-7549 	1087-724X 	Unknown	American Public Works Association 	
Publius: The Journal of Federalism	Oxford University Press 	http://publius.oxfordjournals.org 	1747-7107 	0048-5950 	Unknown	CSF Associates Inc. 	
Punishment & Society	SAGE Publications 	http://pun.sagepub.com 	1741-3095 	1462-4745 	Unknown	Unknown	
QJM	Oxford University Press 	http://qjmed.oxfordjournals.org 	1460-2393 	1460-2725 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Clinical Medicine Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pediatrics Pharmacology Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
Qualitative Health Research	SAGE Publications 	http://qhr.sagepub.com 	1552-7557 	1049-7323 	Unknown	Unknown	
Qualitative Inquiry	SAGE Publications 	http://qix.sagepub.com 	1552-7565 	1077-8004 	Unknown	Unknown	
Qualitative Research	SAGE Publications 	http://qrj.sagepub.com 	1741-3109 	1468-7941 	Unknown	Unknown	
Qualitative Social Work	SAGE Publications 	http://qsw.sagepub.com 	1741-3117 	1473-3250 	Unknown	Unknown	
Quarterly Journal of Engineering Geology and Hydrogeology	The Geological Society of London 	http://qjegh.lyellcollection.org 	2041-4803 	1470-9236 	Unknown	The Geological Society of London 	
The Quarterly Journal of Mathematics	Oxford University Press 	http://qjmath.oxfordjournals.org 	1464-3847 	0033-5606 	Unknown	Unknown	
The Quarterly Journal of Mechanics and Applied Mathematics	Oxford University Press 	http://qjmam.oxfordjournals.org 	1464-3855 	0033-5614 	Unknown	Oxford University Press 	
Race & Class	SAGE Publications 	http://rac.sagepub.com 	1741-3125 	0306-3968 	Unknown	Institute of Race Relations 	
Race and Justice	SAGE Publications 	http://raj.sagepub.com 	Unknown	2153-3687 	Unknown	 The American Society of Criminology, Division on People of Color and Crime 	
Radiation Protection Dosimetry	Oxford University Press 	http://rpd.oxfordjournals.org 	1742-3406 	0144-8420 	Unknown	Nuclear Technology Publishing 	
Radical History Review	Duke University Press 	http://rhr.dukejournals.org 	1534-1453 	0163-6545 	Unknown	Unknown	
RadioGraphics	Radiological Society of North America  	http://radiographics.rsna.org 	1527-1323 	0271-5333 	Accident and Emergency Medicine Cardiovascular Medicine and Stroke Evidence Based Practice Gastroenterology General Practice / Primary Care Infectious Diseases Medicine Neuroscience Oncology Pathology Pediatrics Physics Physiology Psychiatry Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sports and Exercise Medicine Surgery Women's Health 	Radiological Society of North America  	
Radiologic Technology	The American Society of Radiologic Technologists 	http://www.radiologictechnology.org 	Unknown	0033-8397 	Unknown	The American Society of Radiologic Technologists 	
Radiology	Radiological Society of North America 	http://radiology.rsna.org 	1527-1315 	0033-8419 	Accident and Emergency Medicine Cardiovascular Medicine and Stroke Evidence Based Practice Gastroenterology General Practice / Primary Care Infectious Diseases Medicine Neuroscience Oncology Pathology Pediatrics Physics Physiology Psychiatry Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sports and Exercise Medicine Surgery Women's Health 	Radiological Society of North America 	
Rationality and Society	SAGE Publications 	http://rss.sagepub.com 	1461-7358 	1043-4631 	Unknown	Unknown	
RBM: A Journal of Rare Books, Manuscripts, and Cultural Heritage	Association of College & Research Libraries 	http://rbm.acrl.org 	2150-668X 	1529-6407 	Unknown	Unknown	
Recent Progress in Hormone Research	The Endocrine Society 	http://rphr.endojournals.org 	Unknown	0079-9963 	Biochemistry Endocrinology 	Unknown	
Red Book Online	American Academy of Pediatrics 	http://redbookarchive.aappublications.org 	Unknown	1080-0131 	Clinical Medicine Immunology Infectious Diseases Medicine Pediatrics 	American Academy of Pediatrics 	
Refugee Survey Quarterly	Oxford University Press 	http://rsq.oxfordjournals.org 	1471-695X 	1020-4067 	Unknown	Unknown	
Rehabilitation Counseling Bulletin	SAGE Publications 	http://rcb.sagepub.com 	1538-4853 	0034-3552 	Unknown	Hammill Institute on Disabilities, SAGE and the ARCA 	
RELC Journal	SAGE Publications 	http://rel.sagepub.com 	1745-526X 	0033-6882 	Unknown	SEAMEO RELC 	
Remedial and Special Education	SAGE Publications 	http://rse.sagepub.com 	1538-4756 	0741-9325 	Unknown	Hammill Institute, SAGE, and American Rehabilitation Counseling Association  	
Reports of Patent, Design and Trade Mark Cases	Oxford University Press 	http://rpc.oxfordjournals.org 	1756-1000 	0080-1364 	Unknown	UK Intellectual Property Office 	
Reproduction	BioScientifica Ltd 	http://www.reproduction-online.org 	1741-7899 	1470-1626 	Unknown	Society for Reproduction and Fertility 	
Reproductive Sciences	SAGE Publications 	http://rsx.sagepub.com 	1933-7205 	1933-7191 	Unknown	Society for Gynecologic Investigation  	
Research Ethics	Unknown	http://rea.sagepub.com 	2047-6094 	1747-0161 	Unknown	Unknown	
Research Evaluation	Oxford University Press 	http://rev.oxfordjournals.org 	1471-5449 	0958-2029 	Unknown	Oxford University Press 	
Research on Aging	SAGE Publications 	http://roa.sagepub.com 	1552-7573 	0164-0275 	Unknown	Unknown	
Research on Social Work Practice	SAGE Publications 	http://rsw.sagepub.com 	1552-7581 	1049-7315 	Unknown	Society for Social Work and Research 	
Research Studies in Music Education	SAGE Publications 	http://rsm.sagepub.com 	1834-5530 	1321-103X 	Unknown	SEMPRE Society for Education, Music and Psychology Research 	
Respiratory Care	Sam P Giordano MBA RRT FAARC 	http://rc.rcjournal.com 	1943-3654 	0020-1324 	Unknown	American Association for Respiratory Care 	
Reuse/Recycle Newsletter	SAGE Publications 	http://rrn.sagepub.com 	1531-197X 	0048-7457 	Unknown	Unknown	
Review of Asset Pricing Studies	Oxford University Press 	http://raps.oxfordjournals.org 	2045-9939 	2045-9920 	Unknown	Society for Financial Studies 	
Review of Corporate Finance Studies	Oxford University Press 	http://rcfs.oxfordjournals.org 	2046-9136 	2046-9128 	Unknown	Society for Financial Studies 	
The Review of Economic Studies	Oxford University Press 	http://restud.oxfordjournals.org 	1467-937X 	0034-6527 	Unknown	Review of Economic Studies Ltd 	
Review of Educational Research	SAGE Publications 	http://rer.sagepub.com 	1935-1046 	0034-6543 	Unknown	American Educational Research Association  	
The Review of English Studies	Oxford University Press 	http://res.oxfordjournals.org 	1471-6968 	0034-6551 	Unknown	Unknown	
Review of Environmental Economics and Policy	Oxford University Press 	http://reep.oxfordjournals.org 	1750-6824 	1750-6816 	Unknown	Association of Environmental and Resource Economists 	
Review of Finance	Oxford University Press 	http://rof.oxfordjournals.org 	1573-692X 	1572-3097 	Unknown	European Finance Association 	
Review of Financial Studies	Oxford University Press 	http://rfs.oxfordjournals.org 	1465-7368 	0893-9454 	Economic Science 	Unknown	
Review of Market Integration	SAGE Publications 	http://rmi.sagepub.com 	0975-4709 	0974-9292 	Unknown	Unknown	
Review of Public Personnel Administration	SAGE Publications 	http://rop.sagepub.com 	1552-759X 	0734-371X 	Unknown	Section on Personnel and Labor Relations of the American Society for Public Administration 	
Review of Radical Political Economics	SAGE Publications 	http://rrp.sagepub.com 	1552-8502 	0486-6134 	Unknown	Union for Radical Political Economics 	
Review of Research in Education	SAGE Publications 	http://rre.sagepub.com 	1935-1038 	0091-732X 	Unknown	American Educational Research Association  	
Reviews in Mineralogy and Geochemistry	Mineralogical Society of America 	http://rimg.geoscienceworld.org 	Unknown	1529-6466 	Unknown	Mineralogical Society of America 	
Reviews of Human Factors and Ergonomics	SAGE Publications 	http://rev.sagepub.com 	Unknown	1557-234X 	Unknown	Human Factors and Ergonomics Society 	
Rheumatology	Oxford University Press 	http://rheumatology.oxfordjournals.org 	1462-0332 	1462-0324 	Biochemistry Cell Biology Immunology Medicine Physiology Radiology Rheumatology 	Unknown	
RNA	Cold Spring Harbor Laboratory Press 	http://rnajournal.cshlp.org 	1469-9001 	1355-8382 	Biochemistry Cell Biology 	RNA Society 	
SAE International Journal of Aerospace	SAE International 	http://saeaero.saejournals.org 	1946-3901 	1946-3855 	Unknown	SAE International 	
SAE International Journal of Alternative Powertrains	SAE International 	http://saealtpow.saejournals.org 	2167-4205 	2167-4191 	Unknown	SAE International 	
SAE International Journal of Commercial Vehicles	SAE International 	http://saecomveh.saejournals.org 	1946-3928 	1946-391X 	Unknown	SAE International 	
SAE International Journal of Engines	SAE International 	http://saeeng.saejournals.org 	1946-3944 	1946-3936 	Unknown	SAE International 	
SAE International Journal of Fuels and Lubricants	SAE International 	http://saefuel.saejournals.org 	1946-3960 	1946-3952 	Unknown	SAE International 	
SAE International Journal of Materials and Manufacturing	SAE International 	http://saematman.saejournals.org 	1946-3987 	1946-3979 	Unknown	SAE International 	
SAE International Journal of Passenger Cars - Electronic and Electrical Systems	SAE International 	http://saepcelec.saejournals.org 	1946-4622 	1946-4614 	Unknown	SAE International 	
SAE International Journal of Passenger Cars - Mechanical Systems	SAE International 	http://saepcmech.saejournals.org 	1946-4002 	1946-3995 	Unknown	SAE International 	
SAGE Open	SAGE Publications 	http://sgo.sagepub.com 	2158-2440 	Unknown	Unknown	SAGE Publications 	
Scandinavian Journal of Public Health	SAGE Publications 	http://sjp.sagepub.com 	1651-1905 	1403-4948 	Unknown	Associations of Public Health in the Nordic Countries  	
Schizophrenia Bulletin	Oxford University Press 	http://schizophreniabulletin.oxfordjournals.org 	1745-1701 	0586-7614 	Unknown	Maryland Psychiatric Research Center 	
School Psychology International	SAGE Publications 	http://spi.sagepub.com 	1461-7374 	0143-0343 	Unknown	International School Psychology Association 	
Science	American Association for the Advancement of Science 	http://www.sciencemag.org 	1095-9203 	0036-8075 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Anthropology Astronomy Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Endocrinology Engineering Entomology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Mathematics Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pediatrics Pharmacology Physics Physiology Planetary Sciences Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	American Association for the Advancement of Science 	
