pIssn	eIssn	title	urls	subject	isStm	society	emptyField
0022-2720	1365-2818	JOURNAL OF MICROSCOPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2818	Medical, Veterinary and Health Sciences	STM Collection	Royal Microscopical Society	 
1526-9523	1542-2011	JOURNAL OF MIDWIFERY AND WOMEN'S HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-2011	Medical, Veterinary and Health Sciences	STM Collection	American College of Nurse Midwives (ACNM)	 
0952-3499	1099-1352	JOURNAL OF MOLECULAR RECOGNITION  (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1352	Chemistry   	STM Collection		 
0022-2879	1538-4616	JOURNAL OF MONEY, CREDIT AND BANKING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1538-4616	Business, Economics, Finance and Accounting    		Ohio State University Department of Economics	 
0362-2525	1097-4687	JOURNAL OF MORPHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4687	Life Sciences	STM Collection		 
1057-9214	1099-1360	JOURNAL OF MULTI CRITERIA DECISION ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1360	Business, Economics, Finance and Accounting    			 
0883-8534	2161-1912	JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1912	Humanities and Social Sciences		American Counseling Association (ACA)	 
0022-3042	1471-4159	JOURNAL OF NEUROCHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-4159	Life Sciences	STM Collection	International Society for Neurochemistry	 
0953-8194	1365-2826	JOURNAL OF NEUROENDOCRINOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2826	Medical, Veterinary and Health Sciences	STM Collection	British Society for Neuroendocrinology	 
1051-2284	1552-6569	JOURNAL OF NEUROIMAGING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1552-6569	Medical, Veterinary and Health Sciences	STM Collection	American Society of Neuroimaging	 
1748-6645	1748-6653	JOURNAL OF NEUROPSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-6653	Medical, Veterinary and Health Sciences		British Psychological Society (BPS)	 
0360-4012	1097-4547	JOURNAL OF NEUROSCIENCE RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4547	Life Sciences	STM Collection		 
0966-0429	1365-2834	JOURNAL OF NURSING MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2834	Medical, Veterinary and Health Sciences	STM Collection		 
1527-6546	1547-5069	JOURNAL OF NURSING SCHOLARSHIP	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1547-5069	Medical, Veterinary and Health Sciences	STM Collection	Sigma Theta Tau International The Honor Society of Nursing	 
0884-2175	1552-6909	JOURNAL OF OBSTETRIC, GYNECOLOGIC & NEONATAL NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1552-6909	Medical, Veterinary and Health Sciences	STM Collection	Association of Women's Health, Obstetric and Neonatal Nurses	 
1341-8076	1447-0756	JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0756	Medical, Veterinary and Health Sciences	STM Collection	Asia and Oceania Federation of Obstetrics and Gynaecology	 
0963-1798	2044-8325	JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8325	Psychology		British Psychological Society (BPS)	 
0904-2512	1600-0714	JOURNAL OF ORAL PATHOLOGY & MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0714	Medical, Veterinary and Health Sciences	STM Collection	International Association of Oral Pathologists	 
0305-182X	1365-2842	JOURNAL OF ORAL REHABILITATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2842	Medical, Veterinary and Health Sciences	STM Collection		 
0894-3796	1099-1379	JOURNAL OF ORGANIZATIONAL BEHAVIOR	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1379	Business, Economics, Finance and Accounting    			 
0736-0266	1554-527X	JOURNAL OF ORTHOPAEDIC RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-527X	Life Sciences	STM Collection	Orthopaedic Research Society	 
1034-4810	1440-1754	JOURNAL OF PAEDIATRICS AND CHILD HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1754	Medical, Veterinary and Health Sciences	STM Collection	Paediatrics and Child Health Division (The Royal Australasian College of Physicians)	 
1075-2617	1099-1387	JOURNAL OF PEPTIDE SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1387	Chemistry   	STM Collection	European Peptide Society	 
0022-3484	1600-0765	JOURNAL OF PERIODONTAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0765	Medical, Veterinary and Health Sciences	STM Collection		 
0022-3506	1467-6494	JOURNAL OF PERSONALITY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6494	Psychology			 
0141-6421	1747-5457	JOURNAL OF PETROLEUM GEOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-5457	Earth and Environmental Science	STM Collection	Scientific Press (SCIPRE)	 
1759-8885	1759-8893	JOURNAL OF PHARMACEUTICAL HEALTH SERVICES RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-8893	Medical, Veterinary and Health Sciences		Royal Pharmaceutical Society (RPSGB)	 
0022-3549	1520-6017	JOURNAL OF PHARMACEUTICAL SCIENCES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6017	Chemistry   	STM Collection	American Pharmaceutical Association	 
0022-3573	2042-7158	JOURNAL OF PHARMACY AND PHARMACOLOGY: AN INTERNATIONAL JOURNAL OF PHARMACEUTICAL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2042-7158	Medical, Veterinary and Health Sciences	STM Collection	Royal Pharmaceutical Society	 
0309-8249	1467-9752	JOURNAL OF PHILOSOPHY OF EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9752	Education		Philosophy of Education Society of Great Britain	 
0022-3646	1529-8817	JOURNAL OF PHYCOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1529-8817	Life Sciences	STM Collection	Phycological Society of America	 
0894-3230	1099-1395	JOURNAL OF PHYSICAL ORGANIC CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1395	Chemistry   	STM Collection		 
0931-1785	1439-0434	JOURNAL OF PHYTOPATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0434	Life Sciences	STM Collection		 
0742-3098	1600-079X	JOURNAL OF PINEAL RESEARCH (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-079X	Life Sciences	STM Collection		 
1436-8730	1522-2624	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2624	Earth and Environmental Science	STM Collection		 
0276-8739	1520-6688	JOURNAL OF POLICY ANALYSIS AND MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6688	Business, Economics, Finance and Accounting    		Association for Public Policy and Management	 
1741-1122	1741-1130	JOURNAL OF POLICY AND PRACTICE IN INTELLECTUAL DISABILITIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-1130	Medical, Veterinary and Health Sciences		International Association of the Scientific Study of Intellectual Disibilities	 
0360-6376	1099-0518	JOURNAL OF POLYMER SCIENCE (IN TWO SECTIONS)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-6238	Polymers and Materials Science	STM Collection		 
1524-2226	1533-1598	JOURNAL OF POPULAR MUSIC STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1533-1598	Humanities and Social Sciences		International Association for the Study of Popular Music, US Branch	 
1059-941X	1532-849X	JOURNAL OF PROSTHODONTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1532-849X	Medical, Veterinary and Health Sciences	STM Collection	American College of Prosthodontists	 
1351-0126	1365-2850	JOURNAL OF PSYCHIATRIC & MENTAL HEALTH NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2850	Medical, Veterinary and Health Sciences	STM Collection		 
2041-8418	2041-8426	JOURNAL OF PSYCHOLOGICAL ISSUES IN ORGANIZATIONAL CULTURE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2041-8426	Psychology			 
1472-3891	1479-1854	JOURNAL OF PUBLIC AFFAIRS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1479-1854	Business, Economics, Finance and Accounting    			 
1097-3923	1467-9779	JOURNAL OF PUBLIC ECONOMIC THEORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9779	Business, Economics, Finance and Accounting    		Association for Public Economic Theory	 
0022-4006	1752-7325	JOURNAL OF PUBLIC HEALTH DENTISTRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-7325	Medical, Veterinary and Health Sciences	STM Collection	American Association of Public Health Dentistry	 
0267-8179	1099-1417	JOURNAL OF QUATERNARY SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1417	Humanities and Social Sciences	STM Collection	Quaternary Research Association	 
0377-0486	1097-4555	JOURNAL OF RAMAN SPECTROSCOPY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4555	Chemistry   	STM Collection		 
0022-4146	1467-9787	JOURNAL OF REGIONAL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9787	Humanities and Social Sciences			 
0384-9694	1467-9795	JOURNAL OF RELIGIOUS ETHICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9795	Humanities and Social Sciences		Ed Board (EDBOARD)	 
0022-4227	1467-9809	JOURNAL OF RELIGIOUS HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9809	Humanities and Social Sciences		Religious History Society	 
1755-6678	1755-6686	JOURNAL OF RENAL CARE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6686	Medical, Veterinary and Health Sciences	STM Collection	European Dialysis & Transplant Nurses Association/European Renal Care Association	 
0141-0423	1467-9817	JOURNAL OF RESEARCH IN READING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9817	Education		United Kingdom Literacy Association	 
0022-4308	1098-2736	JOURNAL OF RESEARCH IN SCIENCE TEACHING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2736	Education	STM Collection	National Association for Research in Science Teaching	 
E-only title	1471-3802	JOURNAL OF RESEARCH IN SPECIAL EDUCATIONAL NEEDS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-4329	Education		National Association for Special Educational Needs	 
1050-8392	1532-7795	JOURNAL OF RESEARCH ON ADOLESCENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1532-7795	Psychology		Society for Research on Adolescence	 
0022-4367	1539-6975	JOURNAL OF RISK AND INSURANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1539-6975	Business, Economics, Finance and Accounting    		American Risk and Insurance Association	 
0022-4391	1746-1561	JOURNAL OF SCHOOL HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1746-1561	Medical, Veterinary and Health Sciences		American School Health Association	 
0887-8250	1745-459X	JOURNAL OF SENSORY STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-459X	Chemistry   	STM Collection		 
1615-9306	1615-9314	JOURNAL OF SEPARATION SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9314	Chemistry   	STM Collection		 
0962-1105	1365-2869	JOURNAL OF SLEEP RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2869	Medical, Veterinary and Health Sciences	STM Collection	European Sleep Research Society	 
0022-4510	1748-5827	JOURNAL OF SMALL ANIMAL PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-5827	Medical, Veterinary and Health Sciences	STM Collection	British Small Animal Veterinary Association	 
0047-2778	1540-627X	JOURNAL OF SMALL BUSINESS MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-627X	Business, Economics, Finance and Accounting    		International Council for Small Business	 
0022-4537	1540-4560	JOURNAL OF SOCIAL ISSUES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-4560	Psychology		Society for the Psychological Study of Social Issues	 
0047-2786	1467-9833	JOURNAL OF SOCIAL PHILOSOPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9833	Humanities and Social Sciences		North American Society for Social Philosophy	 
1360-6441	1467-9841	JOURNAL OF SOCIOLINGUISTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9841	Humanities and Social Sciences			 
2047-7473	2047-7481	JOURNAL OF SOFTWARE:  EVOLUTION AND PROCESS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-0618	Information Science and Computing	STM Collection		 
1523-2409	1745-493X	JOURNAL OF SUPPLY CHAIN MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-493X	Business, Economics, Finance and Accounting    		Institute for Supply Management	 
1059-4329	1540-5818	JOURNAL OF SUPREME COURT HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5818	Humanities and Social Sciences		Supreme Court Historical Society	 
0022-4790	1096-9098	JOURNAL OF SURGICAL ONCOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9098	Medical, Veterinary and Health Sciences	STM Collection		 
0909-0495	1600-5775	JOURNAL OF SYNCHROTRON RADIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5775	Chemistry   	STM Collection	International Union of Crystallography	 
1674-4918	1759-6831	JOURNAL OF SYSTEMATICS EVOLUTION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-6831	Life Sciences		Botanical Society of China	 
0022-4901	1745-4603	JOURNAL OF TEXTURE STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4603	Chemistry   	STM Collection		 
1041-2972	1745-7599	JOURNAL OF THE AMERICAN ACADEMY OF NURSE PRACTITIONERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-7599	Medical, Veterinary and Health Sciences	STM Collection	American Academy of Nurse Practitioners	 
0002-7820	1551-2916	JOURNAL OF THE AMERICAN CERAMIC SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-2916	Polymers and Materials Science	STM Collection	American Ceramic Society (ACES)	 
1532-2882	1532-2890	JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION  SCIENCE AND TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-2890	Information Science and Computing	STM Collection	American Society for Information Science and Technology	 
1093-474X	1752-1688	JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-1688	Engineering 	STM Collection	American Water Resources Association	 
0009-4536	2192-6549	JOURNAL OF THE CHINESE CHEMICAL SOCIETY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-6549	Chemistry		Chemical Society Located in Taipei (CSLT)	 
0926-9959	1468-3083	JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY & VENEREOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-3083	Medical, Veterinary and Health Sciences	STM Collection	European Academy of Dermatology and Venereology	 
1542-4766	1542-4774	JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-4774	Humanities and Social Sciences		European Economic Association	 
0022-5061	1520-6696	JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6696	Psychology			 
1085-9489	1529-8027	JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1529-8027	Medical, Veterinary and Health Sciences	STM Collection	Peripheral Nerve Society	 
0964-1998	1467-985X	JOURNAL OF THE ROYAL STATISTICAL SOCIETY: SERIES A (STATISTICS IN SOCIETY)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-985X	Mathematics and Statistics	STM Collection	Royal Statistical Society	 
1369-7412	1467-9868	JOURNAL OF THE ROYAL STATISTICAL SOCIETY: SERIES B (STATISTICAL METHODOLOGY)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9868	Mathematics and Statistics	STM Collection	Royal Statistical Society	 
0035-9254	1467-9876	JOURNAL OF THE ROYAL STATISTICAL SOCIETY: SERIES C (APPLIED STATISTICS)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9876	Mathematics and Statistics	STM Collection	Royal Statistical Society	 
0022-5142	1097-0010	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0010	Chemistry   	STM Collection	Society of Chemical Industry	 
1071-0922	1938-3657	JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1938-3657				 
0893-8849	1749-7345	JOURNAL OF THE WORLD AQUACULTURE SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-7345	Earth and Environmental Science	STM Collection	World Aquaculture Society	 
1538-7933	1538-7836	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1538-7836	Medical, Veterinary and Health Sciences		International Society on Thrombosis and Haemostasis	 
0143-9782	1467-9892	JOURNAL OF TIME SERIES ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9892	Mathematics and Statistics	STM Collection		 
1932-6254	1932-7005	JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE  MEDICINE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-7005	Medical, Veterinary and Health Sciences			 
0894-9867	1573-6598	JOURNAL OF TRAUMATIC STRESS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1573-6598	Psychology	STM Collection	International Society for Traumatic Stress Studies	 
1195-1982	1708-8305	JOURNAL OF TRAVEL MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1708-8305	Medical, Veterinary and Health Sciences	STM Collection	International Society of Travel Medicine	 
0735-2166	1467-9906	JOURNAL OF URBAN AFFAIRS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9906	Humanities and Social Sciences		Urban Affairs Association	 
1100-9233	1654-1103	JOURNAL OF VEGETATION SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1654-1103	Earth and Environmental Science	STM Collection	International Association for Vegetation Science	 
1479-3261	1476-4431	JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1476-4431	Medical, Veterinary and Health Sciences	STM Collection	Veterinary Emergency and Critical Care Society	 
0891-6640	1939-1676	JOURNAL OF VETERINARY INTERNAL MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-1676	Medical, Veterinary and Health Sciences	STM Collection	American College of Veterinary Internal Medicine	 
0140-7783	1365-2885	JOURNAL OF VETERINARY PHARMACOLOGY & THERAPEUTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2885	Medical, Veterinary and Health Sciences	STM Collection	American Academy of Veterinary Pharmacology and Therapeutics	 
1083-5601	1548-0585	JOURNAL OF VINYL & ADDITIVE TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1548-0585	Polymers and Materials Science	STM Collection	Society of Plastics Engineers	 
1352-0504	1365-2893	JOURNAL OF VIRAL HEPATITIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2893	Medical, Veterinary and Health Sciences	STM Collection		 
0947-5745	1439-0469	JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY  RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0469	Life Sciences	STM Collection		 
0952-8369	1469-7998	JOURNAL OF ZOOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-7998	Life Sciences	STM Collection	Zoological Society of London	 
0161-7109	1755-6988	JUVENILE AND FAMILY COURT JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6988	Law and Criminology		National Council of Juvenile and Family Court Judges	 
1092-4604	1099-1441	KNOWLEDGE AND PROCESS MANAGEMENT: THE JOURNAL OF CORPORATE TRANSFORMATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1441	Business, Economics, Finance and Accounting    			 
