object	size
journalFiles:Acta Informatica Medica	70
journalBytes:Retrovirology	58313142
journalBytes:Substance Abuse: Research and Treatment	1315059
journalFiles:Journal of Experimental Psychology. Applied	1
journalBytes:Case Reports in Psychiatry	1119779
journalBytes:Korean Journal of Anesthesiology	13636433
journalFiles:Targeted Oncology	8
journalFiles:Laboratory Investigation; a Journal of Technical Methods and Pathology	27
journalFiles:Journal of Nuclear Cardiology	56
journalBytes:Journal of Paediatrics and Child Health	22361
journalFiles:Medical Decision Making	1
journalBytes:Mammalian Genome	15543978
journalBytes:Acta Diabetologica	619220
journalBytes:Biosemiotics	91128
journalBytes:Cell Motility and the Cytoskeleton	88912
journalFiles:Journal of Nonverbal Behavior	2
journalFiles:Journal of the History of the Behavioral Sciences	1
journalFiles:BMC Ecology	426
journalBytes:European Journal of Plastic Surgery	481876
journalFiles:Aging (Albany NY)	517
journalBytes:Clinical and Experimental Dermatology	28070
journalBytes:Journal of Forensic Dental Sciences	741924
journalFiles:Child and Adolescent Mental Health	1
journalFiles:Bioelectrochemistry (Amsterdam, Netherlands)	2
journalFiles:Health Research Policy and Systems	379
journalBytes:Integrated blood pressure control	1249653
journalFiles:Journal of Biosocial Science	3
journalFiles:Seminars in Immunology	2
journalFiles:Insights into imaging	1
journalFiles:The Journal of Cell Biology	31863
journalBytes:Medical Anthropology Quarterly	92551
journalFiles:Conservation Biology	27
journalFiles:Neuropharmacology	20
journalFiles:Dermatology and Therapy	8
journalFiles:Clinical Rehabilitation	10
journalFiles:Emerging Themes in Epidemiology	190
journalFiles:Applied Microbiology and Biotechnology	247
journalBytes:Current Eye Research	307676
journalFiles:Chemical Biology & Drug Design	25
journalBytes:Industrial Psychiatry Journal	1734368
journalBytes:Current Cardiovascular Risk Reports	532191
journalFiles:Clinical and Experimental Hypertension (New York, N.y. : 1993)	1
journalBytes:Journal of Pain Research	5086273
articleTypeFiles:review-article	40783
journalFiles:Journal of Clinical Biochemistry and Nutrition	479
journalFiles:Frontiers in Neurorobotics	44
journalFiles:Web Semantics (Online)	1
journalFiles:Planta	138
journalFiles:GMS Psycho-Social Medicine	57
journalBytes:Hepatitis Research and Treatment	1631537
journalBytes:Sarcoma	15270697
journalFiles:International Journal for the Advancement of Counseling	2
journalBytes:Eplasty	6830774
journalFiles:Food Chemistry	2
journalBytes:Annals of the New York Academy of Sciences	1526688
articleTypeFiles:editorial	8195
journalFiles:Pain Research and Treatment	105
mimeTypeFiles:application/vnd.ms-powerpoint	4831
journalBytes:Drugs & Aging	89402
journalFiles:Journal of community genetics	1
journalBytes:Current Opinion in Plant Biology	35069
journalBytes:BMC Family Practice	33055856
journalFiles:European Journal of Clinical Microbiology & Infectious Diseases	101
journalFiles:Journal of Biotechnology	17
journalFiles:Icarus	1
journalFiles:Journal of Colloid and Interface Science	5
journalBytes:Journal of Modern Optics	78023
journalBytes:Clinical Rheumatology	1927338
journalBytes:Theriogenology	96850
journalBytes:Chemistry and Physics of Lipids	167811
journalFiles:Interface Focus	9
journalFiles:Journal of Trauma Management and Outcomes	21
journalBytes:Filaria Journal	3029747
journalBytes:Journal of Gastroenterology and Hepatology	61811
journalFiles:Genes & Genomics	2
journalBytes:Journal of Inclusion Phenomena and Macrocyclic Chemistry	38830
journalFiles:Journal of Communication Disorders	1
journalBytes:Pediatrics	38500
journalFiles:American Journal of Primatology	2
journalBytes:European Journal of Drug Metabolism and Pharmacokinetics	46180
journalBytes:Engineering Fracture Mechanics	77859
journalFiles:Pregnancy Hypertension	1
journalBytes:Journal of Clinical Lipidology	28774
journalBytes:Bone Marrow Research	1888748
journalBytes:Journal of Psychiatric Research	102167
journalFiles:Statistics in Medicine	45
journalFiles:American Journal of Preventive Medicine	6
journalBytes:Journal of Clinical Psychology in Medical Settings	69362
journalFiles:Current Pharmaceutical Biotechnology	8
journalBytes:Drugs	254223
journalBytes:BMC Biology	94719591
journalBytes:Bulletin of the History of Medicine	983163
journalFiles:Molecular Biology Reports	96
journalFiles:Apmis	15
journalBytes:Bioresource Technology	137787
journalBytes:The Canadian Journal of Economics. Revue Canadienne D'Economique	74786
journalBytes:Stroke Research and Treatment	6051066
journalBytes:Philosophy & Technology	201424
journalBytes:International Journal of Diabetes in Developing Countries	1723569
journalFiles:Ecancermedicalscience	7
journalFiles:Genome Biology and Evolution	651
journalBytes:European Journal of Ageing	824821
journalFiles:European Journal of Cancer (Oxford, England : 1990)	1
journalBytes:Oman Journal of Ophthalmology	2561529
journalBytes:Current Controlled Trials in Cardiovascular Medicine	3747605
journalFiles:Southern Med Review	40
journalFiles:Journal of Cardiac Surgery	1
journalBytes:Advances in Orthopedics	2337396
journalFiles:Open Medicine	154
journalBytes:International Journal of Evidence-Based Healthcare	43523
journalFiles:Gastric Cancer	9
journalBytes:Tropical Plant Biology	319567
journalFiles:Immunopharmacology and Immunotoxicology	1
journalFiles:Journal of Hematology & Oncology	275
journalFiles:International Journal of Behavioral Medicine	45
journalBytes:Chirality	19233
journalFiles:Medicine Studies	4
journalFiles:Cerebrovascular Diseases Extra	29
journalFiles:Chemistry of Materials	11
journalFiles:Pharmacoepidemiology and Drug Safety	3
journalFiles:Molecular and Cellular Neurosciences	25
journalFiles:Annals of Clinical Microbiology and Antimicrobials	341
journalBytes:Research in Veterinary Science	25185
journalFiles:JRSM Short Reports	261
journalBytes:General and Comparative Endocrinology	47710
journalFiles:BMC Proceedings	2171
journalBytes:Current Heart Failure Reports	355384
journalFiles:Urolithiasis	1
journalBytes:Physics Letters. a	63903
journalBytes:Cell Journal (Yakhteh)	1355678
journalBytes:Biochemical and Biophysical Research Communications	1712231
journalFiles:Journal of Integrative Plant Biology	1
journalBytes:The New Phytologist	1417456
journalFiles:Current Gene Therapy	6
journalFiles:European Journal of Psychotraumatology	87
journalFiles:Letters in Drug Design & Discovery	1
journalBytes:Food and Environmental Virology	323206
journalBytes:Environmental Health and Preventive Medicine	176958
journalBytes:Inflammatory Bowel Diseases	232330
journalBytes:Gait & Posture	89748
journalFiles:World Journal of Urology	46
journalFiles:Synthetic Metals	5
journalFiles:Microelectronics and Reliability	1
journalFiles:Journal of Oral Microbiology	61
journalFiles:Chronobiology International	2
journalBytes:BMC Cardiovascular Disorders	21015803
journalFiles:Genetics	138
journalFiles:Parasites & Vectors	1048
journalBytes:Journal of Neurology	5030845
journalFiles:Genetica	43
journalBytes:Magnetic Resonance in Medicine	721015
journalFiles:Journal of Chemical Education	4
journalBytes:AAPS PharmSciTech	582112
journalBytes:Allergy, Asthma, & Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology	106306
journalBytes:Quality & Quantity	185856
journalFiles:Genetical Research	1
journalBytes:Wiley Interdisciplinary Reviews. RNA	60995
journalBytes:Sexual Abuse 	62640
journalBytes:Journal of Neurointerventional Surgery	123526
journalBytes:European Journal of Paediatric Neurology	37621
journalBytes:Pharmacognosy Magazine	3803074
journalFiles:Human and Ecological Risk Assessment	13
journalBytes:Philosophical transactions. Series A, Mathematical, physical, and engineering sciences	4485615
journalFiles:Journal of Homosexuality	1
journalFiles:Anthropology & Medicine	4
journalBytes:Chemistry of Materials	452453
journalBytes:Fungal Genetics and Biology 	2699414
journalFiles:Helvetica Chimica Acta	1
journalFiles:Translational Behavioral Medicine	8
journalBytes:Archives of Environmental Contamination and Toxicology	961105
journalBytes:American Journal of Medical Genetics. Part a	354329
journalFiles:Annals of Behavioral Medicine	25
journalBytes:International Journal of Colorectal Disease	2215614
journalFiles:Sport Sciences for Health	1
journalBytes:Journal of Magnetic Resonance	178491
journalBytes:International Journal of Behavioral Medicine	1671774
journalBytes:Journal of Injury and Violence Research	2103602
journalFiles:Arthritis Care & Research	12
journalBytes:Toxicon	86199
journalFiles:Journal of Infection and Chemotherapy	6
journalFiles:Genes & Cancer	3
journalFiles:Protein and Peptide Letters	3
journalBytes:Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology	1636104
journalFiles:Cellular & molecular immunology	3
journalBytes:American Journal of Physiology - Renal Physiology	783385
journalFiles:BMC Plant Biology	4111
journalBytes:Wiener Medizinische Wochenschrift (1946)	156288
journalFiles:Nature Biotechnology	27
journalFiles:Journal of Catalysis	6
journalBytes:Korean Journal of Ophthalmology : KJO	9443253
journalBytes:Anatomical Record (Hoboken, N.j. : 2007)	80116
journalFiles:Bioengineered	21
journalBytes:Journal of Molecular Evolution	5007974
journalFiles:American Journal of Physical Anthropology	3
journalFiles:Medical Image Analysis	6
journalBytes:The Journal of Experimental Medicine	861104521
journalBytes:Cancer	597255
journalFiles:Clinical and Experimental Gastroenterology	59
journalFiles:Journal of Pest Science	7
journalBytes:Case Reports in Pediatrics	1469142
journalFiles:Fungal Genetics and Biology 	23
journalBytes:World Journal of Microbiology & Biotechnology	596636
journalBytes:Journal of Microencapsulation	36392
journalBytes:BMC Medicine	38126324
journalBytes:Advances in Mathematics	101926
journalBytes:Applied Soft Computing	16578
journalFiles:Protein Engineering, Design and Selection	49
journalBytes:International Journal of Biomaterials	2935534
journalFiles:Virology Journal	2634
journalFiles:Invertebrate Neuroscience 	2
journalFiles:Cognition & Emotion	5
journalFiles:mBio	1140
journalFiles:Journal of Brachial Plexus and Peripheral Nerve Injury	131
journalFiles:Invertebrate Neuroscience	3
journalFiles:Structure (London, England : 1993)	56
journalFiles:Clinical Pharmacology and Therapeutics	29
journalFiles:Molecular Autism	117
journalBytes:Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology	3136321
journalBytes:Biomedical Informatics Insights	744914
journalBytes:Fly	399670
journalBytes:Lasers in Medical Science	658973
journalBytes:European Neuropsychopharmacology	67055
journalFiles:Implementation Science : IS	876
journalBytes:Clinical Medicine Insights. Case Reports	1018807
journalFiles:Veterinary Parasitology	13
journalBytes:Journal of Agricultural and Food Chemistry	1269873
journalFiles:Clinical Psychopharmacology and Neuroscience	46
journalFiles:Cell Calcium	31
journalFiles:Journal of Public Economics	1
journalFiles:European Journal of Orthopaedic Surgery & Traumatology	15
journalBytes:Pulmonary Medicine	5187177
journalFiles:Angiogenesis	54
journalBytes:The Aging Male 	42189
journalFiles:Resuscitation	14
journalFiles:Pediatric Research	4
journalFiles:Blood Cells, Molecules & Diseases	1
journalBytes:Journal of Medical Microbiology	1006004
journalBytes:The Oncologist	1840151
journalBytes:Molecular Ecology Resources	319953
journalBytes:British Journal of Pharmacology	3808282
journalBytes:Vascular Health and Risk Management	30916689
journalBytes:Journal of Clinical and Experimental Neuropsychology	143697
journalBytes:International Urogynecology Journal	875595
journalFiles:Clinical and Experimental Immunology	9
journalBytes:Conservation Biology	582140
journalFiles:Journal of Chemical Ecology	91
journalFiles:Journal of Pharmacology & Pharmacotherapeutics	221
journalFiles:Journal of Evaluation in Clinical Practice	14
journalBytes:Reproduction in Domestic Animals = Zuchthygiene	34249
journalFiles:Journal of Neural Transmission	64
journalBytes:Bioelectrochemistry (Amsterdam, Netherlands)	52699
journalBytes:Journal of Aquatic Animal Health	38936
journalBytes:Croatian Medical Journal	6117727
journalFiles:Journal of Substance Use	1
journalBytes:Schizophrenia Research and Treatment	1900375
journalFiles:Diagnostic Cytopathology	1
journalBytes:BioMedical Engineering OnLine	23978280
journalFiles:Molecular Therapy	130
journalFiles:Fems Yeast Research	29
journalBytes:European Journal of Orthopaedic Surgery & Traumatology	326530
journalFiles:Journal of Hematopathology	53
journalBytes:Worldviews on Evidence-Based Nursing	29166
journalBytes:Biomacromolecules	988733
journalBytes:Journal of Controlled Release	1870239
journalBytes:The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	214515
journalBytes:Journal of Gastrointestinal Surgery	2547849
journalBytes:Biochemical Pharmacology	919373
journalFiles:Algorithms for Molecular Biology : AMB	211
journalBytes:Drug Delivery and Translational Research	285708
journalFiles:Irish Journal of Medical Science	6
journalFiles:Analytical Chemistry Insights	61
journalFiles:American Heart Journal	3
journalBytes:Indian Journal of Orthopaedics	13204192
journalBytes:Clinical Proteomics	3139645
journalBytes:Nano Letters	1224794
journalBytes:Cancer Metastasis Reviews	1559642
journalBytes:Journal of Emergencies, Trauma, and Shock	1831973
journalFiles:European Journal of Pain (London, England)	22
journalFiles:Antiviral Research	6
journalFiles:Journal of Power Sources	2
journalFiles:American Journal of Physiology. Regulatory, Integrative and Comparative Physiology	1
